"lang"
{
	"Language"		"English"
	"Tokens"
	{		
		"game_mode_15"				"BAREBONES"
		"addon_game_name"			"Impossible Bosses"
		
		//"DOTA_Basics"							"ABILITIES"
		//"DOTA_Upgrades"							"ITEMS"
		//"DOTA_Shop_Category_Basics"				"ABILITIES"
		//"DOTA_Shop_Category_Upgrades"			"ITEMS"

		"npc_dota_hero_crystal_maiden"		"Frost Mage"
		"npc_dota_hero_dragon_knight"		"Warrior"
		"npc_dota_hero_furion"				"Druid"
		"npc_dota_hero_lina"				"Fire Mage"
		"npc_dota_hero_omniknight"			"Paladin"
		"npc_dota_hero_vengefulspirit"		"Death Knight"
		"npc_dota_hero_windrunner"			"Ranger"
		"npc_dota_hero_warlock"				"Warlock"
		"npc_dota_hero_silencer"			"Priest"
		"npc_dota_hero_phantom_assassin"	"Rogue"

		//ITEMS

		"DOTA_Tooltip_ability_item_big_mana_item"                                         "Super Mana Potion"
		"DOTA_Tooltip_ability_item_big_mana_item_Description"                             "Restores 500 mana when used"

		"DOTA_Tooltip_ability_item_heal_big_item"                                         "Super Health Potion"
		"DOTA_Tooltip_ability_item_heal_big_item_Description"                             "Heals 3000 hitpoints when used"

		"DOTA_Tooltip_ability_item_heal_item"                                             "Health Potion"
		"DOTA_Tooltip_ability_item_heal_item_Description"                                 "Heals 1750 hitpoints when used"

		"DOTA_Tooltip_ability_item_immune_item"                                           "Savior Potion"
		"DOTA_Tooltip_ability_item_immune_item_Description"                               "Makes you invulnerable for 2 seconds"

		"DOTA_Tooltip_ability_item_mana_item"                                             "Mana Potion"
		"DOTA_Tooltip_ability_item_mana_item_Description"                                 "Restores 300 mana when used"

		"DOTA_Tooltip_ability_item_revive_item"                                           "Essence of Life"
		"DOTA_Tooltip_ability_item_revive_item_Description"                               "You will be brought back to life 5 seconds after death with full health and mana"

		"DOTA_Tooltip_ability_item_team_revive_item"                                      "Fallen Remedy"
		"DOTA_Tooltip_ability_item_team_revive_item_Description"                          "Instantly resurrect a fallen comrade with 40% health and 0% mana"

		///shop

		"DOTA_Tooltip_ability_show_help"                                             "Shop Area"
		"DOTA_Tooltip_ability_show_help_Description"                                 "This is the Shop Area. You Start With 1 Karma that you can spend by touching a Rune. \n \nGreen will permently grant hp. \nBlue will level up offencive ablities. \nPurple will permenently increase your mana. \nRed will grant movment speed."
		
		//--------------------
		//Abilities
		//--------------------
		"DOTA_Tooltip_ability_example_ability"										"Detonation"
		"DOTA_Tooltip_ability_example_ability_Description"				"Detonator channels a charge and releases an explosion around the caster if the channel is successful, dealing damage and knocking back all enemies in range of the explosion"
		"DOTA_Tooltip_ability_example_ability_Lore"								""
		"DOTA_Tooltip_ability_example_ability_duration"							"DURATION:"
	    "DOTA_Tooltip_ability_example_ability_radius"							"RADIUS:"
	    "DOTA_Tooltip_ability_example_ability_distance"							"KNOCKBACK DISTANCE:"
	    "DOTA_Tooltip_ability_example_ability_height"							"KNOCKBACK HEIGHT:"

	    ///DeathKnight

	    "DOTA_Tooltip_ability_dk_fury"                                                    "Obliterate"
		"DOTA_Tooltip_ability_dk_fury_Description"                                        "Unleash a furious string of attacks on at target attacking 10 times over 2 seconds. Each attack deals physical damage. The final hit will deal bonus magic damage."
		"DOTA_Tooltip_Ability_dk_fury_Pdamage"    										  "Physical:"
		"DOTA_Tooltip_Ability_dk_fury_Mdamage"    										  "Magical:"
		"DOTA_Tooltip_Ability_dk_fury_reduction"    										  "%Reduc to Shadow:"
		"DOTA_Tooltip_Ability_dk_fury_amplify"    										  "Bonus Magic Damage to Light/Nature:"

		"DOTA_Tooltip_ability_dk_reanimate"                                               "Reanimate"
		"DOTA_Tooltip_ability_dk_reanimate_Description"                                   "Instantly bring back to life a fallen ally as a powerful Skeleton for a short time or restore a portion of the target's mana. Mana restore will not work on other Death Knights"
		"DOTA_Tooltip_ability_dk_reanimate_duration"                                      "Duration:"
		"DOTA_Tooltip_ability_dk_reanimate_mana"                                          "Mana Restore:"

		"DOTA_Tooltip_ability_dk_shadow_guard"                                            "Shadow Guard"
		"DOTA_Tooltip_ability_dk_shadow_guard_Description"                                "Shadow energy surrounds this unit protecting it from enemy attacks and spells for 2 seconds, removing all buffs"

		"DOTA_Tooltip_ability_dk_shadow_step"                                             "Shadow Step"
		"DOTA_Tooltip_ability_dk_shadow_step_Description"                                 "Step through the shadows and instantly warp to a targeted ally gaining increased movement speed"
		"DOTA_Tooltip_Ability_dk_shadow_step_range"    									  "Range:"	
		"DOTA_Tooltip_Ability_dk_shadow_step_speed"										  "%Speed:"
		"DOTA_Tooltip_Ability_dk_shadow_step_duration"									  "Duration:"

		"DOTA_Tooltip_ability_dk_siphon"                                                  "Siphoning Wave"
		"DOTA_Tooltip_ability_dk_siphon_Description"                                      "Unleash a shadow spirit toward a target point. Any units hit will be damaged and heal the Death Knight a small amount. If Siphoning Wave kills a unit the Death Knight will be healed again"
		"DOTA_Tooltip_Ability_dk_siphon_damage"    										  "Damage:"
		"DOTA_Tooltip_Ability_dk_siphon_heal"    										  "Heal:"

		"DOTA_Tooltip_ability_dk_unholy"                                                  "Unholy Power"
		"DOTA_Tooltip_ability_dk_unholy_Description"                                      "Activate to cause unholy energy to pour out of you distributing health every sec for 4 sec to you and your allies in a short range. Healing per unit is capped"
		"DOTA_Tooltip_ability_dk_unholy_heal"                                         	  "Heal:"
		"DOTA_Tooltip_ability_dk_unholy_capped"                                           "Max Heal per Unit:"
		"DOTA_Tooltip_ability_dk_unholy_range"                                            "Radius:"

		///Druid

		"DOTA_Tooltip_ability_dr_bearform"                                                "Transform"
		"DOTA_Tooltip_ability_dr_bearform_Description"                                    "Allows you to switch between caster and Bear form"

		"DOTA_Tooltip_ability_dr_maul"                                                    "Maul"
		"DOTA_Tooltip_ability_dr_maul_Description"                                        "Ferociously claw target enemy dealing damage. If target's remaining health is 20% or lower Maul will deal additional damage"
		"DOTA_Tooltip_ability_dr_maul_damage"                                             "Damage:"
		"DOTA_Tooltip_ability_dr_maul_bonus"                                              "Bonus:"

		"DOTA_Tooltip_ability_dr_rend"                                                    "Rend"
		"DOTA_Tooltip_ability_dr_rend_Description"                                        "Ferociously claw target dealing damage and wounding them causing them to bleed and take damage every 2 seconds for 10 seconds."
		"DOTA_Tooltip_ability_dr_rend_damage"                                             "Damage:"
		"DOTA_Tooltip_ability_dr_rend_bleed"                                              "Bleed:"

		"DOTA_Tooltip_ability_dr_renew"                                                   "Renew"
		"DOTA_Tooltip_ability_dr_renew_Description"                                       "Heals a friendly unit and continue to heal for several seconds. Target will also regenerate mana per second"
		"DOTA_Tooltip_ability_dr_renew_heal"                                              "Heal:"
		"DOTA_Tooltip_ability_dr_renew_hot"                                               "Heal over Time:"
		"DOTA_Tooltip_ability_dr_renew_mana"                                              "Mana:"
		"DOTA_Tooltip_ability_dr_renew_Rmana"                                             "Rogue Mana:"
		"DOTA_Tooltip_ability_dr_renew_duration"                                          "Duration:"

		"DOTA_Tooltip_ability_dr_sprint"                                                  "Rage"
		"DOTA_Tooltip_ability_dr_sprint_Description"                                      "Increases move speed and attack speed for short time"
		"DOTA_Tooltip_ability_dr_sprint_MS"                                               "%MoveSpeed:"
		"DOTA_Tooltip_ability_dr_sprint_AS"                                               "%AttackSpeed:"
		"DOTA_Tooltip_ability_dr_sprint_duration"                                         "Duration:"

		"DOTA_Tooltip_ability_dr_starfall"                                                "Starfall"
		"DOTA_Tooltip_ability_dr_starfall_Description"                                    "Calls down a star on an enemy"
		"DOTA_Tooltip_ability_dr_starfall_damage"                                         "Damage:"

		///FireMage

		"DOTA_Tooltip_modifier_fm_phoenix_aura"                                           "Phoenix Aura"
		"DOTA_Tooltip_modifier_fm_phoenix_aura_Description"                               "Gives nearby friendly units (500) a 10% chance on offensive spell cast to restore 20 mana and caster units a 10% chance on attack to restore 30 mana."

		"DOTA_Tooltip_modifier_fm_phoenix_aura_effect"                                    "Phoenix Aura"
		"DOTA_Tooltip_modifier_fm_phoenix_aura_effect_Description"                        "10% chance to restore mana on spell or attack"

		///------------------------------------------------------------------------

		"DOTA_Tooltip_ability_fm_counter_spell"                                           "Counter Spell"
		"DOTA_Tooltip_ability_fm_counter_spell_Description"                               "Prevents the Boss's current spell from being cast. Only affects abilities in GRAY text."

		"DOTA_Tooltip_ability_fm_enrage_spirit"                                           "Enrage Spirit"
		"DOTA_Tooltip_ability_fm_enrage_spirit_Description"                               "Increases movement speed of nearby friendly units for a short time. Instantly restores mana to units within range of Legacy of the Phoenix"
		"DOTA_Tooltip_ability_fm_enrage_spirit_radius"                                           "Range:"
		"DOTA_Tooltip_ability_fm_enrage_spirit_speed"                                           "%MoveSpeed:"
